Subject,From,Body
Choices for HSSMEC Autumn Sem 2023-24 ( UG II Year),Assit RegistrarCurriculum <arcurriculum@iitr.ac.in>,"

No.Acad/UG/20423/OEC-Reg./2023-24 Date: April 20 , 2023 




Notice: Humanities Elective (HSSMEC) Category courses (Autumn Semester 2023-24) 




SECOND YEAR STUDENTS 




The Undergraduate/IMT/BSMS II Yr students are hereby informed that the provisional registration for the HSSMEC (for second year) for Autumn Semester 2022-23 will be carried out online at [ https://acad.iitr.ac.in/ | https://acad.iitr.ac.in ] during 20 April, 2023 to 25 April, 2023. 




All students are required to give their choices for HSSMEC category courses for Autumn Semester 2023-24 during the above schedule. Registration after the due date would not be allowed. Non-registered students would not be able to add these courses at the time of addition/deletion also. 




In case of Students who do not fill up choices within the prescribed date, the Academic Section will allocate the electives as per availability. 




The list of the courses to be offered are given below: 




Kindly note that students are required to opt for minimum 2 choices at least. 



Subject Area 	

Subject Code 	

Subject title 	

In which branch to be offered 


HSSMEC 

	

HSS-01/HSS-02 	

Economics/ Sociology 	

BE, CE, CH, CSE, ECE, EE, EPH,DSAI 

BS-MS(Chemical Science), BS-MS(Physics) 





The Notice is also uploaded on channel i and acad portal. 
channel i link- [ https://channeli.in/noticeboard/notice/9514 | https://channeli.in/noticeboard/notice/9514 ] 


Regards, 
Major Reeti (Retd.) 
Assistant Registrar (Curriculum) 
Academic Section 
IIT Roorkee 

"
[BULK] Geek out with us and Hack your Boredom! Join our Social Media Community today!,HackerRank Team <hackers@hackerrankmail.com>,"  
Hi MAKWANA VAIBHAVI LALITKUMAR,

We've been having a blast churning out top-notch tech content on our social=
 media platforms and we want** YOU to be a part of the action!**

Are you ready to level up your coding game and join our epic **community of=
 21 million developers worldwide?**


**What=E2=80=99s in it for you?**

- Stay up-to-date with the latest coding trends and news
- Connect with fellow developers from around the world
- Share ideas and knowledge to help you grow and learn

 
"
Opening of Slots for newly installed XRF Equipment in IIC,Inst InstrumentationCentre <iic@iitr.ac.in>,"It is informed to all concerned that a new XRF instrument has been installe=
d at IIC and its booking portal has been opened for sample analysis. Users =
may now book their slots on the IIC Equipment Booking Portal using the foll=
owing [ https://iicbooking.iitr.ac.in/ | link ; ]=20


Roorkee-247667 (India)=20
Tel: +91 1332 285307, 4350=20
Fax:+91 1332 273560=20
Website: [ https://www.iitr.ac.in/centers/IIC/pages/Organisation+Home.html =
| https://iitr.ac.in/Centres/Institute%20Instrumentation%20Centre/index.htm=
l ]=20

"
"Notice: Second Examination for Mid Term Examination of Spring
 Semester, 2022-23 for UG-I year only",UG  AAO <aao-ug@iitr.ac.in>,"Dear Students, 

The detailed notice regarding the Second Examination for the Mid Term Examination of Spring Semester 2022-23 (For UG- I Year only) is available on Channel i and the acad portal. The links are given below: 

[ https://channeli.in/noticeboard/notice/9510 | https://channeli.in/noticeboard/notice/9510 ] 

[ https://acad.iitr.ac.in/Default.aspx | https://acad.iitr.ac.in/Default.aspx ] 

Best Wishes! 
Undergraduate Section 
Academic Affairs Office 
Indian Institute of Technology Roorkee 

"
"Online function to honour the memories of late Dr. Rohit Moghe
 (2007 batch alumnus of EED) and Prof. C. S. Ghosh memorial lecture series",Head Electrical Engineering <head@ee.iitr.ac.in>,"Dear colleagues, students, and staff members,=20

Please join us for an online function on 20th April 2023 at 5.45 pm to hono=
ur the memory of our alumnus, Dr. Rohit Moghe (2007 batch, EED). He was the=
 inaugural speaker of the EED intiative 'Alumni Talks' and a distinguished =
member of the student community.=20

On 20th April 2023 from 6 pm to 7 pm , we also welcome you for the inaugura=
l lecture of EED's annual endowment lecture series (Prof. C. S. Ghosh Memor=
ial Lecture Series) by Prof. Deepak Divan on the topic of =E2=80=98Future G=
rid as an Enabler of Decarbonization=E2=80=99 .=20

Please grace the event with your presence!=20

The Webex link: [ https://iitroorkee.webex.com/iitroorkee/j.php?MTID=3Dme70=
c6b02c638eac6c654b4e252877de7 | https://iitroorkee.webex.com/iitroorkee/j.p=
hp?MTID=3Dme70c6b02c638eac6c654b4e252877de7 ]=20
Meeting number (access code): 2644 753 1945=20
Meeting password: 2023=20

20th April 2023 5:45 pm - 6 pm (online)=20


    * Unveiling of Dr. Rohit Moghe's photograph by Prof. Deepak Diwan, Prof=
essor, Georgia Institute of Technology, Atlanta, GA, in the student activit=
y room of the EED.=20
    * Announcement of a new institute award in the name of Dr. Rohit Moghe =
by Prof. Partha Roy, Dean of Resources & Alumni Affairs.=20
        * This award will be given to deserving EE undergraduates every yea=
r and will serve as a testament to Rohit's commitment to excellence and his=
 dedication to giving back to his community.=20

Your presence will be greatly appreciated as we pay tribute to the legacy o=
f Dr. Rohit Moghe, who continues to inspire students.=20

20th April 2023 6 pm - 7 pm (online)=20




    * Inaugural lecture of EE department's annual endowment lecture series =
in the name of Prof. C. S. Ghosh.=20
    * Welcoming Prof. Deepak Divan to deliver the lecture on =E2=80=98Futur=
e Grid as an Enabler of Decarbonization=E2=80=99=20
    * Q&A=20
    * Vote of thanks=20

The meeting link for both events is the same. More details are attached for=
 your kind reference.=20

Thanks and kind regards,=20



G. N. Pillai=20

Head, Department of Electrical Engineering=20

IIT Roorkee=20

Tel (O): +91 1332 285231 / 285198=20

Tel (M): +91 9997735293=20

Email: [ mailto:head@ee.iitr.ac.in | head@ee.iitr.ac.in ]=20


"
"Lecture by Dr. SSV Ramakumar on Hydrogen Economy and session on
 Indian Oil Startup Fund",Associate Dean Corporate Interaction <adci@iitr.ac.in>,"
=20
Dear Students, dear Colleagues,=20
=C2=A0=20
With great pleasure, we invite you to the lecture on=C2=A0""Decoding Hydroge=
n Ecosystem: Industry and Research Imperatives"" by our distinguished alumnu=
s, Dr. SSV Ramakumar, Director, Research & Development, IOCL. The talk will=
 also cover the research funding opportunities with IOCL=C2=A0=20
Date and Venue: 20th April 2023 at 4:30 PM with High Tea at 4:00 PM, Chemic=
al Auditorium.=C2=A0=20
=C2=A0=20
Following the lecture, the IOCL will present the details of the Indian Oil =
Startup Fund=C2=A0and the=C2=A0Indian Oil Open Innovation Challenge ""Green =
Resolve - Amrit Kaal Adhyay"". This session of the event is organized in ass=
ociation with TIDES.=C2=A0=20
=C2=A0=20
Biosketch of the speaker:=20
=20
=20
Dr. SSV Ramakumar is Director, (R&D) since 2017 on the Board of Indian Oil =
Corporation Ltd., a Fortune 500 company. Dr. Ramakumar, has more than three=
 decades of uninterrupted experience in downstream hydrocarbons sector, not=
ably in areas of lubricant technology; refinery process research and cataly=
st development. He is instrumental in development of India=E2=80=99s home-g=
rown, OEM-approved marine lubricant technology, which catapulted Indian Oil=
=E2=80=99s SERVO lubes into select league of five MNCs. He spearheaded comp=
lete indigenization of IndianOil=E2=80=99s flagship INDMAX technology. Curr=
ently he is pioneering various alternative energy programmes including wast=
e-energy, bio, solar and energy storage etc. Dr. Ramakumar is steering the =
IndianOil Hydrogen endeavours and is on various committees working on drawi=
ng the strategies for inclusion of hydrogen in the energy mix. Dr. Ramakuma=
r has over 150 research publications in national/international journals and=
 a sizeable number of granted patents. In his past additional assignment as=
 Director Planning & Business Development, he also spearheaded IndianOil=E2=
=80=99s Petrochemicals, Natural Gas, Exploration & Production, Alternate En=
ergy & Sustainable Development, International Business and Explosives verti=
cals, besides Corporate Planning.=C2=A0=20
Besides serving on Board of IndianOil, Dr. Ramakumar also serves on the Boa=
rds of Lanzatech, USA, Oil Industry Development; Central Pollution Control,=
 India; Society for Petroleum Laboratories & India Energy Forum and Researc=
h Advisory Board (RAB) of ICAT, under Scientific & Research Organisation (S=
IRO). As Director Planning & Business Development, he also served on the bo=
ards of Green Gas Ltd., IndianOil Total Pvt. Ltd., IOT Biogas Pvt. Ltd. and=
 IndOil Montney Ltd., Canada. Dr. Ramakumar presides over several national =
scientific societies, including International Council of Internal Combustio=
n Engines, India Chapter; Indian Society of Fuels and Lubricants; National =
Lubrication Grease Institute, Indian Chapter; and Tribology Society of Indi=
a. He also spearheads Start-Up initiatives of IndianOil.=C2=A0=20
An awardee of fellowship of Indian National Academy of Engineering (FNAE), =
Dr. Ramakumar has received many awards, including NPMP, FIPI, NRDC, AIIMA I=
nnovation, Bangalore Nano, and WPC Excellence Award for product and process=
 technologies he developed. He holds a doctorate in chemistry from IIT-Roor=
kee and has been conferred with its Distinguished Alumni Award for the year=
 2021 in Technology & Innovation domains.=20
=C2=A0=20
Regards=20
Sairam   =20
=C2=A0 =20
Sai Ramudu Meka Associate Dean Corporate Interaction (ADCI) Indian Institut=
e of Technology Roorkee Email:adci@iitr.ac.in Phone No. +91 133228 5378=20
"
Fwd: Bhrigu lake long trek.,Himalayan ExplorersClub <hec@iitr.ac.in>,"
=C2=A0=20
   =20
Dear Students & Scholars,=C2=A0=20
=C2=A0=20
=20
Please ignore the fees in the previous email i.e. Rs. 3500/-=20
The total fee of Rs. 3700/- =C2=A0which is mentioned on the poster also. =
=20
=20
=20
=C2=A0=20
HEC,=C2=A0=20
IITR =20

=20
  =20

-----Original Message-----

From: Himalayan <hec@iitr.ac.in>
To: Students-Notices <students-notices@iitr.ac.in>
Cc: Dean <dosw@iitr.ac.in>; Associate <adoswsa@iitr.ac.in>; Ajanta <ajanta.=
goswami@es.iitr.ac.in>; ADESH <adesh_d@cy.iitr.ac.in>
Date: Wednesday, 19 April 2023 9:11 PM IST
Subject: Bhrigu lake long trek.

 =20
=C2=A0=20
=20
Dear Students & Scholars,=C2=A0=20
=C2=A0=20
The summers are here and some of us have arrived to the end of this magnifi=
cent college journey and are all set to start a new chapter of their life. =
To end this beautiful college life, what else can be a better choice than a=
 beautiful trek through meadows and the Himalayan ranges collecting memorie=
s for life with college buddies. HEC presents another astonishing long trek=
, trek scheduled from 10th-12th May of 2023 to Bhrigu lake. Located at an e=
levation of around 4,300 meters (14,100 ft) near Manali, Bhrigu Lake is one=
 of those treks you wonder why you haven=E2=80=99t heard about sooner. This=
 trek not only has some of the best views of meadows and the Himalayan rang=
e but a vast range of grasslands flourishing with the beauty of spring. It=
=E2=80=99s not often on a trek that you get to climb from 8,000 ft to a lak=
e at 14,000 ft. This trek takes you through snow-capped peaks and unparalle=
led breathtaking views of Seven Sister Peaks, Deo Tibba, Indrasan, Hanuman =
Tibba, and the outstretched Pir Panjal ranges which will soothe your senses=
 and make you content with unbounded natural beauty as you walk through the=
 high-altitude meadows.=20
=C2=A0=20
The trek is scheduled on 10th-12th May 2023.=C2=A0=20
=C2=A0=20
Total fees of the trek- 3500=20
Registration cost - 200=20
=C2=A0=20
Last date to fill form - 23 April 2023=20
Dates - 10th-12th May, 2023=20
=C2=A0=20
Contact for details-=20
Ronak: 73001 39685=20
Anuj: 90018 65266=20
=C2=A0=20
Link to register: https://forms.gle/TunRHBKAfVN56J8e9=20
=C2=A0=20
=C2=A0=20
https://drive.google.com/file/d/1BkCITjWan1-fh3viKeHCRCMyaBTeHMVK/view?usp=
=3Ddrivesdk=20
=C2=A0=20
=C2=A0=20
=C2=A0=20
HEC,=20
IITR        =20
"
Bhrigu lake long trek.,Himalayan ExplorersClub <hec@iitr.ac.in>,"
=C2=A0=20
=20
Dear Students & Scholars,=C2=A0=20
=C2=A0=20
The summers are here and some of us have arrived to the end of this magnifi=
cent college journey and are all set to start a new chapter of their life. =
To end this beautiful college life, what else can be a better choice than a=
 beautiful trek through meadows and the Himalayan ranges collecting memorie=
s for life with college buddies. HEC presents another astonishing long trek=
, trek scheduled from 10th-12th May of 2023 to Bhrigu lake. Located at an e=
levation of around 4,300 meters (14,100 ft) near Manali, Bhrigu Lake is one=
 of those treks you wonder why you haven=E2=80=99t heard about sooner. This=
 trek not only has some of the best views of meadows and the Himalayan rang=
e but a vast range of grasslands flourishing with the beauty of spring. It=
=E2=80=99s not often on a trek that you get to climb from 8,000 ft to a lak=
e at 14,000 ft. This trek takes you through snow-capped peaks and unparalle=
led breathtaking views of Seven Sister Peaks, Deo Tibba, Indrasan, Hanuman =
Tibba, and the outstretched Pir Panjal ranges which will soothe your senses=
 and make you content with unbounded natural beauty as you walk through the=
 high-altitude meadows.=20
=C2=A0=20
The trek is scheduled on 10th-12th May 2023.=C2=A0=20
=C2=A0=20
Total fees of the trek- 3500=20
Registration cost - 200=20
=C2=A0=20
Last date to fill form - 23 April 2023=20
Dates - 10th-12th May, 2023=20
=C2=A0=20
Contact for details-=20
Ronak: 73001 39685=20
Anuj: 90018 65266=20
=C2=A0=20
Link to register: https://forms.gle/TunRHBKAfVN56J8e9=20
=C2=A0=20
=C2=A0=20
https://drive.google.com/file/d/1BkCITjWan1-fh3viKeHCRCMyaBTeHMVK/view?usp=
=3Ddrivesdk=20
=C2=A0=20
=C2=A0=20
=C2=A0=20
HEC,=20
IITR=20
"
"ETE Schedule Spring Semester 2022-23  All Students  (excluding UG I
 Year & MBA)",Academic Affairs Office <aao@iitr.ac.in>,"

Dear Students,=20





The Schedule of End Term Examination (ETE) of all students (excluding UG 1 =
Year & MBA) for Spring Semester 2022-23 is available on Channel-i and AIS a=
t the following links:=20





Channel-I : [ https://channeli.in/noticeboard/notice/9507 | https://channel=
i.in/noticeboard/notice/9507 ]=20





AIS : [ https://acad.iitr.ac.in/?AspxAutoDetectCookieSupport=3D1 | https://=
acad.iitr.ac.in/?AspxAutoDetectCookieSupport=3D1 ]=20


Best Regards=20
Academic Affairs Office=20
Indian Institute of Technology Roorkee=20
Uttarakhand (India)=20
Contact Nos.: +91 1332 28-4289=20
[ https://www.iitr.ac.in/ | Web:=C2=A0 https://www.iitr.ac.in/ ]=20

"
"Re: PHN-006: Quantum Mechanics and Statistical Mechanics Class
 Materials",Himanshu Fulara <himanshu.fulara@ph.iitr.ac.in>,"Lecture notes L15-18 are attached. 

Himanshu 


*************************************************************** 
Himanshu Fulara, Ph.D. (IIT Delhi) 
Assistant Professor 
Department of Physics 
Indian Institute of Technology Roorkee 
Roorkee- 247667, INDIA 
Tel: +91-1332-285773 (O), Mob: +91-9990198665 
Alternative e-mail: fulara.himanshu@gmail.com 
Web: [ https://iitr.ac.in/Departments/Physics%20Department/People/Faculty/100942.html | https://www.iitr.ac.in/~PH/Himanshu_Fulara ] 
*************************************************************** 


From: ""Himanshu Fulara"" <himanshu.fulara@ph.iitr.ac.in> 
To: ""PHN-006-i1"" <phn-006-i1@iitr.ac.in> 
Sent: Wednesday, April 12, 2023 8:51:46 PM 
Subject: Re: PHN-006: Quantum Mechanics and Statistical Mechanics Class Materials 

Lecture notes L09-14 are attached. 

Himanshu 


*************************************************************** 
Himanshu Fulara, Ph.D. (IIT Delhi) 
Assistant Professor 
Department of Physics 
Indian Institute of Technology Roorkee 
Roorkee- 247667, INDIA 
Tel: +91-1332-285773 (O), Mob: +91-9990198665 
Alternative e-mail: fulara.himanshu@gmail.com 
Web: [ https://iitr.ac.in/Departments/Physics%20Department/People/Faculty/100942.html | https://www.iitr.ac.in/~PH/Himanshu_Fulara ] 
*************************************************************** 


From: ""Himanshu Fulara"" <himanshu.fulara@ph.iitr.ac.in> 
To: ""PHN-006-i1"" <phn-006-i1@iitr.ac.in> 
Sent: Monday, March 27, 2023 10:51:45 AM 
Subject: Re: PHN-006: Quantum Mechanics and Statistical Mechanics Class Materials 

Lecture notes L06-08 are attached. 

Himanshu 


*************************************************************** 
Himanshu Fulara, Ph.D. (IIT Delhi) 
Assistant Professor 
Department of Physics 
Indian Institute of Technology Roorkee 
Roorkee- 247667, INDIA 
Tel: +91-1332-285773 (O), Mob: +91-9990198665 
Alternative e-mail: fulara.himanshu@gmail.com 
Web: [ https://iitr.ac.in/Departments/Physics%20Department/People/Faculty/100942.html | https://www.iitr.ac.in/~PH/Himanshu_Fulara ] 
*************************************************************** 


From: ""Himanshu Fulara"" <himanshu.fulara@ph.iitr.ac.in> 
To: ""PHN-006-i1"" <phn-006-i1@iitr.ac.in> 
Sent: Monday, March 20, 2023 1:14:24 PM 
Subject: Re: PHN-006: Quantum Mechanics and Statistical Mechanics Class Materials 

Lecture notes L02-05 are attached. 

Himanshu 

*************************************************************** 
Himanshu Fulara, Ph.D. (IIT Delhi) 
Assistant Professor 
Department of Physics 
Indian Institute of Technology Roorkee 
Roorkee- 247667, INDIA 
Tel: +91-1332-285773 (O), Mob: +91-9990198665 
Alternative e-mail: fulara.himanshu@gmail.com 
Web: [ https://iitr.ac.in/Departments/Physics%20Department/People/Faculty/100942.html | https://www.iitr.ac.in/~PH/Himanshu_Fulara ] 
*************************************************************** 


From: ""Himanshu Fulara"" <himanshu.fulara@ph.iitr.ac.in> 
To: ""PHN-006-i1"" <phn-006-i1@iitr.ac.in> 
Sent: Friday, March 3, 2023 11:01:28 PM 
Subject: PHN-006: Quantum Mechanics and Statistical Mechanics Class Materials 

Dear Students, 

Please, find attached the slides of my introductory Lecture. You need to join the MS team created for the PHN-006 course (O1-O4 batches); otherwise, you will miss the important updates and won't be able to submit your assignments and projects. Please, join the team ASAP via the following code: 



ze2t56l 

Best wishes 
Himanshu 


*************************************************************** 
Himanshu Fulara, Ph.D. (IIT Delhi) 
Assistant Professor 
Department of Physics 
Indian Institute of Technology Roorkee 
Roorkee- 247667, INDIA 
Tel: +91-1332-285773 (O), Mob: +91-9990198665 
Alternative e-mail: fulara.himanshu@gmail.com 
Web: [ https://iitr.ac.in/Departments/Physics%20Department/People/Faculty/100942.html | https://www.iitr.ac.in/~PH/Himanshu_Fulara ] 
*************************************************************** 

"
"Invitation to General Quiz ""Safety First"" | Quizzing Section IIT
 Roorkee",General SecretaryCA <gensec.cult@iitr.ac.in>,"Greetings IITR junta, 
Continuing our old monk series we present our next general quiz ""Safety First"" by our very own Aastik Tripathi. 

The Rules: 
1. The quiz will be a two parter with a written prelim round followed by a finals round for the qualified teams. 
2. Every team can have at most 3 members. 
3. In case of any tie, the QMs decision will be deciding. 
No prior quizzing experience or knowledge required 

The quiz is open to all years. 
PS if you have a hard time finding a teammate we'll help you out. 

Join us on 19th April as we bid farewell to our beloved QM. 

Venue : New LHC 002 
Date : Wednesday 19 April 2023 
Time : 6:30PM 

Open for all, happy quizzing! 

For any queries contact - Aastik : 8053988691 

See You All There! 
Regards, 
Quizzing Section 

"
Bloomberg Workshop Today from 4.30 PM to 5.30 PM,Head Management Studies <head@ms.iitr.ac.in>,"

The Department of Management Studies is organizing a =E2=80=9C Workshop on =
using Bloomberg Terminal =E2=80=9D. Please join the session today from 4.30=
 PM to 5.30 PM .=20




Bloomberg is a high-tech, data-driven, information company designed to solv=
e global problems . It provides financial software tools such as an analyti=
cs and equity trading platform, data services, and news to financial compan=
ies and organizations.=20




Bloomberg provides real-time and historical price data, financial data, and=
 trading news, and analyst coverage. It offers professional analysis tools =
for financial professionals.=20



Salient Features of the Workshop:=20

=C2=B7 How to get started using the Bloomberg Terminal=20

=C2=B7 Understanding the flow of systems logic and how to make it work for =
you=20

=C2=B7 Global Market information=20

=C2=B7 Finding details on individual securities=20

=C2=B7 How to gain 24/7 information and support via Help=20






We encourage you to join this meeting via video conference for a more inter=
active discussion.=20




Join using a link:=20

[ https://bloomberg.zoom.us/j/96820092633?pwd=3DRUZDcldHTDNwSDFQV3ZEczNmb3J=
zQT09 | https://bloomberg.zoom.us/j/96820092633?pwd=3DRUZDcldHTDNwSDFQV3ZEc=
zNmb3JzQT09 ]=20

Meeting ID : 968 2009 2633=20
Passcode : 555069=20

Join using Audio only:=20
+1 646 931 3860=20
+44 203 481 5240=20
+65 3165 1065=20
More phone numbers: https://zoom.us/zoomconference=20
Meeting ID: 968 2009 2633#=20
Participant ID: #=20
Passcode: 555069#=20




Regards=20

Usha Lenka=20

Head, Management Studies=20

"
"Interactive session with Log9: Day Zero event live streaming at
 APJ-103",Associate Dean Corporate Interaction <adci@iitr.ac.in>,"Dear Students,=20

As you know, Log9 has nucleated at our campus with its incubation at TIDES =
.=20
We are very proud of Log9's great success, which has emerged as the first I=
ndian company having competencies across materials, electrode, cell, and pa=
ck-level fabrication of energy storage technologies.=20
The Log9 has commercialized its fast-charging battery technology (RapidX) f=
or commercial intracity EVs and LFP battery technology for long-range vehic=
les. On the deployment front, Log 9 has deployed more than 3000 batteries a=
cross the e2-Wheeler and e3-Wheeler platforms. In addition to this, Log9 ha=
s also developed high-power battery packs (ZappUp) for stationary applicati=
ons, Aluminium Air Batteries for long-haul vehicles, and graphene-based sup=
ercapacitors. The company has filed over 60 global patents across various m=
aterials and energy storage technologies. Till date, Log9 has raised more t=
han 500 Cr (INR) from various investors and has become a team of more than =
300 people.=20

On 21st April 2023, Log9 is celebrating its foundation day ( Day Zero ) wit=
h the inauguration of India=E2=80=99s 1st commercial 50MWh end-to-end cell =
manufacturing facility . This event includes keynote speeches from industry=
 leaders, presentations by Log9 Materials' leadership team, a product showc=
ase, and interactive sessions.=20


On this day, Log9 is also launching an initiative called RISE ( Research In=
novation and Skill Enhancement ) through which eligible students pursuing t=
heir graduation, post-graduation and doctorate studies can get their projec=
ts and theses funded by Log9.=20

We are arranging live streaming of this event at APJ L2-103 on 21st April (=
10 AM to 2 PM) and the representatives from Log9 will also be present at th=
e venue to provide additional information and also to answer any questions.=
=20
We hope this event is an opportunity to learn about the latest trends and d=
evelopments in the field of cell and battery technologies and understand ho=
w we can benefit from the RISE program.=20

Refreshments will be served at the venue.=20
For any queries, please contact Mr.Aman (9569802087)=20
Regards=20
sairam=20
--=20
Sai Ramudu Meka=20
Associate Dean Corporate Interaction (ADCI)=20
Indian Institute of Technology Roorkee=20
Email:adci@iitr.ac.in=20
Phone No. +91 133228 5378=20

"
Congratulations to Prof Ranjana Pathania for Indian Patent,Associate Dean of Innovation and Incubation <adii@iitr.ac.in>,"Dear All 


Please join me in congratulating Prof Ranjana Pathania (BSBE) and her team for getting grant of an Indian Patent. 

Please see the attached certificates of grant. The certificate has name of all three inventors. 

As per latest Senate decision, granted patents can also be considered for Phd submission requirements. 

As per latest screening guidelines, patents will be considered for eligibility requirements at Associate Professor level. 

It is also recommended to use Xlscout and Derwent for doing literature review for Phd proposals. 

Further, Institute has launched a scheme of [ https://ipr.iitr.ac.in/trl-booster-scheme/ | TRL boosting ] to take patented technologies to the commercialization level. 

We hope to get more such Good News from other colleagues also. 

Rajat 

-- 
Rajat Agrawal 
Associate Dean Innovation and Incubation 
Indian Institute of Technology Roorkee 
Roorkee 247667, India 
ADII office 01332-285810 
IPR Cell 01332- 285873 
Mobile - 9719004491 

[ https://ipr.iitr.ac.in/ | IPR Cell  ] 


"
"Fwd: Invitation at Saharanpur Campus for IITR-MSME workshop on
 April 20, 2023 (THURSDAY)!",Dean Saharanpur <deansaharanpurcampus@iitr.ac.in>,"
Dear Students,=20
With reference to the trailing email, interested Students are requested to =
fill the Google form given below and send us by 10:0 AM tomorrow so as to a=
rrange your transport between campuses.=20
=C2=A0=20
=20
Please find the google form to attend the MSME workshop:=20
=C2=A0=20
https://docs.google.com/forms/d/e/1FAIpQLSfTKdFSms7O3Z2Lo8YofjifjCrmHIiSy7x=
fs0vlapnnNWO-Qw/viewform?usp=3Dsf_link=C2=A0=20
=C2=A0=20
Best regards=C2=A0=20
Sujay=20
=C2=A0  =20
Dean-Saharanpur Campus  Indian Institute of Techn=
ology Roorkee- Saharanpur Campus Saharanpur-247001, Uttar Pradesh, INDIA Te=
l (O): +91 132 2714303 Tel (R):+91 132 2714375 M (O): +91 9568189000 Email:=
 deansaharanpurcampus@iitr.ac.in, deansrecampus.office@iitr.ac.in https://w=
ww.iitr.ac.in/~PPE/sujayfpt https://www.iitr.ac.in=20

  =20

-----Original Message-----

From: Dean <deansaharanpurcampus@iitr.ac.in>
To: Faculty-Notices <faculty-notices@iitr.ac.in>; Students-Notices <student=
s-notices@iitr.ac.in>
Cc: Director <director@iitr.ac.in>; Deputy <ddirector@iitr.ac.in>; Deans <d=
eans@iitr.ac.in>; hods <hods@iitr.a.in>; A_Deans <a-deans@iitr.ac.in>; Proj=
ect <project-staff@iitr.ac.in>
Date: Sunday, 16 April 2023 10:34 PM IST
Subject: Invitation at Saharanpur Campus for IITR-MSME workshop on April 20=
, 2023 (THURSDAY)!

 
 Dear Faculty Colleagues, and Students,=20
 =20
 =C2=A0 Greetings from Saharanpur Campus, IIT Roorkee! =C2=A0 The Saharanpu=
r campus, is organizing a one-day workshop on ""Role of Startups, MSME & Cor=
porates for Atmanirbhar Bharat"" on April 20, 2023 (THURSDAY, flyer enclosed=
). Where 40+ startups, MSME industries, and corporate leaders have consente=
d for their participation. =C2=A0 Prof. K.K. Pant, Director, IIT Roorkee wi=
ll grace the event. =C2=A0=C2=A0 It gives us an immense pleasure in invitin=
g you all for the workshop.=C2=A0 =C2=A0 Eagerly look forward to your kind =
participation in the event. =C2=A0 Best regards =C2=A0 Sujay =C2=A0   =20
 Dean-Saharanpur Campus

Indian Institute of Technology Roorkee- Saharanpur Campus
Saharanpur-247001, Uttar Pradesh, INDIA
Tel (O): +91 132 2714303 Tel (R):+91 132 2714375
M (O): =C2=A0+91 9568189000
Email: deansaharanpurcampus@iitr.ac.in, deansrecampus.office@iitr.ac.in
https://www.iitr.ac.in/~PPE/sujayfpt
https://www.iitr.ac.in                  =20
"
REOPENING OF SWIMMING POOL FROM 19TH APRIL 2023 EVENING SESSION,Chairman Institute Sports Council <chairman.isc@iitr.ac.in>,"Dear Faculty/Staff/Students/Project Staff, 

The Institute Sports Council is pleased to announce the reopening of the swimming pool w.e.f the evening session on 19th April 2023 . The detailed schedule and the instructions can be found in the below link: 

[ https://channeli.in/noticeboard/notice/9495 | https://channeli.in/noticeboard/notice/9495 ] 

The entry passes (for staff and wards) will be issued from 19th April onwards. Entry will be allowed with the Institute ID Card / medical booklet untill 26th April. 

One coach and four Lifeguards (including a female lifeguard) will be available at the swimming pool. 

Any query may be directed to Dr. Mukesh Choudhary ( mukesh.msc2017@iitr.ac.in ) / Dr.Hema Pant ( hemapant.msa2018@iitr.ac.in ) 

With best regards, 

G.D. Ransinchung R.N. 
Chairman, ISC. 
"
